episode,score,avg_100,best_score,epsilon,avg_loss,buffer_size,elapsed_s
1,0,0.0,0,0.9995,0.0,11,0.0
2,1,0.5,1,0.999,0.0,23,0.1
3,0,0.3333,1,0.998501,0.0,48,0.1
4,0,0.25,1,0.998001,0.0,64,0.1
5,0,0.2,1,0.997502,0.0,116,0.1
6,0,0.1667,1,0.997004,0.0,120,0.1
7,0,0.1429,1,0.996505,0.0,124,0.1
8,0,0.125,1,0.996007,0.0,140,0.1
9,0,0.1111,1,0.995509,0.0,146,0.1
10,1,0.2,1,0.995011,0.0,160,0.1
11,0,0.1818,1,0.994514,0.0,197,0.6
12,0,0.1667,1,0.994016,0.0,202,0.6
13,0,0.1538,1,0.993519,0.0,206,0.6
14,0,0.1429,1,0.993023,0.0,210,0.6
15,0,0.1333,1,0.992526,0.0,216,0.6
16,1,0.1875,1,0.99203,0.0,233,0.6
17,0,0.1765,1,0.991534,0.0,257,0.6
18,0,0.1667,1,0.991038,0.0,276,0.6
19,0,0.1579,1,0.990543,0.0,284,0.6
20,0,0.15,1,0.990047,0.0,290,0.6
21,0,0.1429,1,0.989552,0.0,300,0.6
22,0,0.1364,1,0.989058,0.0,308,0.6
23,0,0.1304,1,0.988563,0.0,313,0.6
24,0,0.125,1,0.988069,0.0,326,0.6
25,0,0.12,1,0.987575,0.0,388,0.6
26,1,0.1538,1,0.987081,0.0,429,0.7
27,0,0.1481,1,0.986587,0.0,437,0.7
28,1,0.1786,1,0.986094,0.0,459,0.7
29,0,0.1724,1,0.985601,0.0,504,0.7
30,0,0.1667,1,0.985108,0.0,509,0.7
31,0,0.1613,1,0.984616,0.0,513,0.7
32,1,0.1875,1,0.984123,0.0,533,0.7
33,0,0.1818,1,0.983631,0.0,541,0.7
34,0,0.1765,1,0.98314,0.0,549,0.7
35,1,0.2,1,0.982648,0.0,584,0.7
36,0,0.1944,1,0.982157,0.0,587,0.7
37,1,0.2162,1,0.981666,0.0,595,0.7
38,0,0.2105,1,0.981175,0.0,612,0.7
